"","NAME","Age.Group","SEX","EDU.Simplified","DEPT","CITY","HOOD","sentence","position","words","focused","tones","sentence_type","total_speakers","position_spec"
"94","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD5","N","con","Manuel","L+H*+L L%","NFD",30,"N1"
"95","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD6","PN","Esta",NA,"L+H*","NFD",30,"PN1"
"96","MVF26","18-35","Female","Tertiary","Montevideo","Montevideo","Punta Carretas","NFD6","N","buenisimo","FOCUSED","L+H* L%","NFD",30,"N1"
"97","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","BFD1","N","Mandarinas",NA,"L* L%","BFD",30,"N"
"98","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","BFD2","PN","Maria",NA,"L+<H*","BFD",30,"PN1"
"99","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","BFD2","PN","esta",NA,"¡H*","BFD",30,"PN2"
"100","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","BFD2","PN","comiendo",NA,"L+!H*","BFD",30,"PN3"
"101","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","BFD2","N","mandarinas",NA,"L+¡H* L%","BFD",30,"N"
"102","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","BFD4","PN","Yo",NA,"L+<H*","BFD",30,"PN1"
"103","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","BFD4","PN","vivi",NA,"deaccented","BFD",30,"PN2"
"104","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","BFD4","PN","muchos",NA,"deaccented","BFD",30,"PN3"
"105","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","BFD4","PN","anos","en","L+¡H*","BFD",30,"PN4"
"106","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","BFD4","N","San","Juan","L* L%","BFD",30,"N"
"107","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD1","PN","Senora",NA,"L+H*+L","NFD",30,"PN1"
"108","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD1","PN","no",NA,"L+H*","NFD",30,"PN2"
"109","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD1","PN","quiero",NA,"L+¡H*","NFD",30,"PN3"
"110","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD1","PN","limones",NA,"L* L-","NFD",30,"PN4"
"111","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD1","PN","quiero",NA,"L+<H*","NFD",30,"PN5"
"112","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD1","N","naranjas","FOCUSED","L+H* L%","NFD",30,"N1"
"113","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD2","PN","Que",NA,"L+H*","NFD",30,"PN1"
"114","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD2","PN","rico",NA,"L+H*","NFD",30,"PN2"
"115","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD2","PN","olor","a","L+H*","NFD",30,"PN3"
"116","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD2","N","medialunas","FOCUSED","L+¡H*+L L%","NFD",30,"N1"
"117","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD3","PN","No",NA,"L+H*+L L-","NFD",30,"PN1"
"118","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD3","PN","se","van","L+H*","NFD",30,"PN2"
